El Mundo en Cifras
Evolución de los casos de COVID-19
Año;Periodos;España;
2022;jul-01;12818184;
2022;jul-02;;
2022;jul-03;;
2022;jul-04;;
2022;jul-05;12890002;
2022;jul-06;;
2022;jul-07;;
2022;jul-08;12973615;
2022;jul-09;;
2022;jul-10;;
2022;jul-11;;
2022;jul-12;13032841;
2022;jul-13;;
2022;jul-14;;
2022;jul-15;;
2022;jul-16;;
2022;jul-17;;
2022;jul-18;;
2022;jul-19;13132159;
2022;jul-20;;
2022;jul-21;;
2022;jul-22;13204863;
2022;jul-23;;
2022;jul-24;;
2022;jul-25;;
2022;jul-26;13203228;
2022;jul-27;;
2022;jul-28;;
2022;jul-29;13226579;
2022;jul-30;;
2022;jul-31;;
2022;ago-01;;
2022;ago-02;13245996;
2022;ago-03;;
2022;ago-04;;
2022;ago-05;13266184;
2022;ago-06;;
2022;ago-07;;
2022;ago-08;;
2022;ago-09;13280557;
2022;ago-10;;
2022;ago-11;;
2022;ago-12;13294139;
2022;ago-13;;
2022;ago-14;;
2022;ago-15;;
2022;ago-16;13306301;
2022;ago-17;;
2022;ago-18;;
2022;ago-19;13314764;
2022;ago-20;;
2022;ago-21;;
2022;ago-22;;
2022;ago-23;13323784;
2022;ago-24;;
2022;ago-25;;
2022;ago-26;13332976;
2022;ago-27;;
2022;ago-28;;
2022;ago-29;;
2022;ago-30;13342530;
2022;ago-31;;
2022;sep-01;;
2022;sep-02;13352019;
2022;sep-03;;
2022;sep-04;;
2022;sep-05;;
2022;sep-06;13358722;
2022;sep-07;;
2022;sep-08;;
2022;sep-09;13367647;
2022;sep-10;;
2022;sep-11;;
2022;sep-12;;
2022;sep-13;13374116;
2022;sep-14;;
2022;sep-15;;
2022;sep-16;13384876;
2022;sep-17;;
2022;sep-18;;
2022;sep-19;;
2022;sep-20;13393196;
2022;sep-21;;
2022;sep-22;;
2022;sep-23;13403502;
2022;sep-24;;
2022;sep-25;;
2022;sep-26;;
2022;sep-27;13412263;
2022;sep-28;;
2022;sep-29;;
2022;sep-30;13422984;
2022;oct-01;;
2022;oct-02;;
2022;oct-03;;
2022;oct-04;13431098;
2022;oct-05;;
2022;oct-06;;
2022;oct-07;13441941;
2022;oct-08;;
2022;oct-09;;
2022;oct-10;;
2022;oct-11;;
2022;oct-12;;
2022;oct-13;;
2022;oct-14;13462593;
2022;oct-15;;
2022;oct-16;;
2022;oct-17;;
2022;oct-18;;
2022;oct-19;;
2022;oct-20;;
2022;oct-21;13488015;
2022;oct-22;;
2022;oct-23;;
2022;oct-24;;
2022;oct-25;;
2022;oct-26;;
2022;oct-27;;
2022;oct-28;13511768;
2022;oct-29;;
2022;oct-30;;
2022;oct-31;;
2022;nov-01;;
2022;nov-02;;
2022;nov-03;;
2022;nov-04;13529643;
2022;nov-05;;
2022;nov-06;;
2022;nov-07;;
2022;nov-08;;
2022;nov-09;;
2022;nov-10;;
2022;nov-11;13551539;
2022;nov-12;;
2022;nov-13;;
2022;nov-14;;
2022;nov-15;;
2022;nov-16;;
2022;nov-17;;
2022;nov-18;13573721;
2022;nov-19;;
2022;nov-20;;
2022;nov-21;;
2022;nov-22;;
2022;nov-23;;
2022;nov-24;;
2022;nov-25;13595504;
2022;nov-26;;
2022;nov-27;;
2022;nov-28;;
2022;nov-29;;
2022;nov-30;;
2022;dic-01;;
2022;dic-02;13614807;
2022;dic-03;;
2022;dic-04;;
2022;dic-05;;
2022;dic-06;;
2022;dic-07;;
2022;dic-08;;
2022;dic-09;13632635;
